iter	Passed	Remaining
673	8704	4210
674	8715	4196
675	8727	4183
676	8739	4169
677	8752	4156
678	8765	4144
679	8780	4131
680	8793	4119
681	8807	4106
682	8819	4093
683	8831	4080
684	8844	4067
685	8856	4053
686	8868	4040
687	8880	4027
688	8892	4013
689	8904	4000
690	8916	3987
691	8928	3973
692	8940	3960
693	8954	3948
694	8967	3935
695	8979	3922
696	8990	3908
697	9003	3895
698	9016	3882
699	9029	3869
700	9041	3856
701	9052	3842
702	9064	3829
703	9077	3816
704	9090	3803
705	9102	3790
706	9115	3777
707	9128	3765
708	9142	3752
709	9158	3740
710	9171	3727
711	9183	3714
712	9195	3701
713	9207	3688
714	9220	3675
715	9231	3661
716	9244	3648
717	9255	3635
718	9268	3622
719	9280	3608
720	9292	3596
721	9307	3583
722	9320	3570
723	9332	3557
724	9344	3544
725	9357	3531
726	9370	3518
727	9383	3505
728	9395	3492
729	9408	3479
730	9421	3466
731	9433	3453
732	9445	3440
733	9458	3427
734	9471	3414
735	9482	3401
736	9496	3388
737	9510	3376
738	9523	3363
739	9537	3350
740	9549	3337
741	9563	3325
742	9575	3312
743	9588	3299
744	9600	3286
745	9612	3272
746	9624	3259
747	9636	3246
748	9649	3233
749	9661	3220
750	9675	3207
751	9688	3195
752	9701	3182
753	9714	3169
754	9726	3156
755	9739	3143
756	9751	3130
757	9763	3117
758	9776	3104
759	9788	3090
760	9800	3077
761	9812	3064
762	9825	3051
763	9838	3038
764	9852	3026
765	9865	3013
766	9879	3001
767	9891	2988
768	9903	2974
769	9916	2961
770	9927	2948
771	9940	2935
772	9952	2922
773	9963	2909
774	9975	2896
775	9987	2883
776	9999	2869
777	10011	2856
778	10023	2843
779	10037	2831
780	10051	2818
781	10063	2805
782	10076	2792
783	10088	2779
784	10098	2765
785	10110	2752
786	10122	2739
787	10134	2726
788	10146	2713
789	10158	2700
790	10171	2687
791	10185	2674
792	10198	2662
793	10211	2649
794	10223	2636
795	10236	2623
796	10249	2610
797	10262	2597
798	10274	2584
799	10288	2572
800	10301	2559
801	10314	2546
802	10326	2533
803	10340	2520
804	10354	2508
805	10366	2495
806	10378	2482
807	10392	2469
808	10406	2456
809	10420	2444
810	10433	2431
811	10446	2418
812	10458	2405
813	10471	2392
814	10485	2380
815	10499	2367
816	10512	2354
817	10525	2341
818	10537	2328
819	10549	2315
820	10562	2302
821	10578	2290
822	10591	2277
823	10604	2265
824	10617	2252
825	10630	2239
826	10643	2226
827	10654	2213
828	10667	2200
829	10678	2187
830	10691	2174
831	10703	2161
832	10714	2148
833	10726	2135
834	10738	2122
835	10752	2109
836	10769	2097
837	10781	2084
838	10795	2071
839	10808	2058
840	10820	2045
841	10833	2032
842	10845	2019
843	10858	2007
844	10871	1994
845	10883	1981
846	10895	1968
847	10906	1955
848	10918	1941
849	10930	1928
850	10944	1916
851	10958	1903
852	10971	1890
853	10984	1877
854	10997	1865
855	11009	1852
856	11021	1839
857	11033	1826
858	11045	1813
859	11058	1800
860	11069	1787
861	11081	1774
862	11093	1761
863	11106	1748
864	11118	1735
865	11132	1722
866	11148	1710
867	11162	1697
868	11175	1684
869	11188	1671
870	11201	1658
871	11213	1646
872	11225	1633
873	11238	1620
874	11250	1607
875	11261	1594
876	11273	1581
877	11285	1568
878	11297	1555
879	11310	1542
880	11324	1529
881	11337	1516
882	11349	1503
883	11362	1490
884	11375	1478
885	11385	1464
886	11397	1452
887	11409	1439
888	11421	1426
889	11434	1413
890	11448	1400
891	11460	1387
892	11470	1374
893	11482	1361
894	11496	1348
895	11510	1335
896	11523	1323
897	11536	1310
898	11549	1297
899	11560	1284
900	11573	1271
901	11586	1258
902	11598	1245
903	11611	1233
904	11624	1220
905	11636	1207
906	11649	1194
907	11661	1181
908	11674	1168
909	11687	1155
910	11700	1143
911	11712	1130
912	11725	1117
913	11738	1104
914	11751	1091
915	11764	1078
916	11775	1065
917	11788	1052
918	11800	1040
919	11812	1027
920	11824	1014
921	11837	1001
922	11849	988
923	11862	975
924	11876	962
925	11890	950
926	11902	937
927	11915	924
928	11928	911
929	11941	898
930	11953	885
931	11965	873
932	11978	860
933	11990	847
934	12002	834
935	12014	821
936	12026	808
937	12040	795
938	12054	783
939	12067	770
940	12080	757
941	12092	744
942	12104	731
943	12116	718
944	12128	705
945	12140	693
946	12152	680
947	12164	667
948	12177	654
949	12189	641
950	12201	628
951	12215	615
952	12228	603
953	12241	590
954	12253	577
955	12265	564
956	12277	551
957	12290	538
958	12299	525
959	12309	512
960	12322	500
961	12333	487
962	12346	474
963	12359	461
964	12372	448
965	12385	435
966	12399	423
967	12413	410
968	12428	397
969	12438	384
970	12448	371
971	12462	359
972	12475	346
973	12488	333
974	12500	320
975	12513	307
976	12525	294
977	12538	282
978	12551	269
979	12563	256
980	12576	243
981	12587	230
982	12600	217
983	12610	205
984	12623	192
985	12635	179
986	12646	166
987	12658	153
988	12668	140
989	12680	128
990	12692	115
991	12704	102
992	12716	89
993	12728	76
994	12739	64
995	12752	51
996	12765	38
997	12779	25
998	12791	12
999	12804	0
